OID,RID,MEAS,Distance,GPSTime,ID,FeatureNam,Latitude,Longitude,Easting,Northing,HAE,MSL,Comment,Max_PDOP,Max_HDOP,Corr_Type,Feat_Name,Filt_Pos
-1,2,444.6824991,0.865551075,07/27/21 0:00,1,Point_generic,42.37845652,-72.47771452,707653.602,4694879.011,42.615,71.416,19320,4.7,2.1,Postprocessed Code,Point_generic,46
-1,2,424.022422,2.011196584,07/27/21 0:00,2,Point_generic,42.37850741,-72.4779477,707634.237,4694884.091,46.653,75.454,81502,4.2,2,L1  Postprocessed Carrier Float,Point_generic,28
-1,2,426.0381639,4.768921649,07/27/21 0:00,3,Point_generic,42.37852162,-72.47791092,707637.218,4694885.759,42.485,71.286,19334,5.7,4.3,L1  Postprocessed Carrier Float,Point_generic,26
-1,2,359.4755,6.03248186,07/27/21 0:00,5,Point_generic,42.37895597,-72.47832761,707601.479,4694932.974,53.802,82.603,84034,141.3,99.9,Postprocessed Code,Point_generic,150
-1,2,359.0018399,7.096048593,07/27/21 0:00,6,Point_generic,42.37896145,-72.47831557,707602.453,4694933.612,52.398,81.199,81490,6.8,3.4,Postprocessed Code,Point_generic,60
-1,2,351.0585217,-6.456839823,07/27/21 0:00,7,Point_generic,42.37900396,-72.47849391,707587.629,4694937.896,48.858,77.658,19324,7.2,4.1,Postprocessed Code,Point_generic,29
-1,2,340.2305141,-4.124431432,07/27/21 0:00,8,Point_generic,42.37906249,-72.47853342,707584.183,4694944.299,56.221,85.021,81452,3.8,2.2,Postprocessed Code,Point_generic,27
-1,2,338.3533055,-2.745768266,07/27/21 0:00,9,Point_generic,42.37908219,-72.47854306,707583.325,4694946.464,49.487,78.288,19274,8,4.2,Postprocessed Code,Point_generic,47
-1,2,320.7944147,-4.25207949,07/27/21 0:00,10,Point_generic,42.3790993,-72.47872882,707567.974,4694947.91,46.883,75.684,84050,6,3.3,Postprocessed Code,Point_generic,87
-1,2,311.7885881,4.180346063,07/27/21 0:00,11,Point_generic,42.37917785,-72.47883414,707559.044,4694956.375,47.828,76.628,19314,141.3,99.9,Postprocessed Code,Point_generic,28
-1,2,309.9444671,6.996213765,07/27/21 0:00,12,Point_generic,42.37920408,-72.47885459,707557.274,4694959.238,48.129,76.929,81439,3.6,2.1,Postprocessed Code,Point_generic,33
-1,2,297.8536765,-0.341775146,07/27/21 0:00,13,Point_generic,42.37913448,-72.47900539,707545.088,4694951.141,43.227,72.028,81430,3.9,2.4,Postprocessed Code,Point_generic,23
-1,2,250.8701647,0.841241201,07/27/21 0:00,14,Point_generic,42.37911087,-72.47954968,707500.353,4694947.189,52.896,81.697,19291,6.6,3.6,Postprocessed Code,Point_generic,71
-1,2,215.631518,2.234537374,07/27/21 0:00,15,Point_generic,42.37906071,-72.47997349,707465.626,4694940.583,48.033,76.834,81460,3.3,2,Postprocessed Code,Point_generic,33
-1,2,182.818416,-2.299398423,07/27/21 0:00,16,Point_generic,42.37893275,-72.48033352,707436.405,4694925.495,51.226,80.028,19275,10.1,5.5,Postprocessed Code,Point_generic,30
-1,2,177.1013341,-3.236090918,07/27/21 0:00,17,Point_generic,42.37890376,-72.48039198,707431.687,4694922.133,63.657,92.459,19370,5.5,2.1,Postprocessed Code,Point_generic,26
-1,2,134.2260547,0.20054765,07/27/21 0:00,18,Point_generic,42.37873271,-72.480855,707394.129,4694902.008,48.208,77.01,19327,7.3,2.8,Postprocessed Code,Point_generic,49
-1,2,102.5949296,3.426977432,07/27/21 0:00,19,Point_generic,42.3786045,-72.48119354,707366.679,4694886.944,41.815,70.617,19230,7.4,2,Postprocessed Code,Point_generic,24
-1,2,78.32534573,-4.08171505,07/27/21 0:00,20,Point_generic,42.37843752,-72.48139284,707350.82,4694867.915,56.631,85.434,81457,5.8,2.5,Postprocessed Code,Point_generic,53
-1,2,1213.016246,-9.018197252,07/27/21 0:00,21,Point_generic,42.37997667,-72.46962249,708314.812,4695067.63,70.43,99.226,19326,5.9,4.6,Postprocessed Code,Point_generic,31
-1,2,1212.48384,-8.197673207,07/27/21 0:00,22,Point_generic,42.37998272,-72.46963111,708314.082,4695068.281,67.573,96.369,81498,3.7,3.1,Postprocessed Code,Point_generic,23
-1,2,1206.5056,-2.559991688,07/27/21 0:00,23,Point_generic,42.38001688,-72.46971415,708307.132,4695071.871,68.003,96.798,19383,7.4,5.1,Postprocessed Code,Point_generic,31
-1,2,1200.432604,-5.438075284,07/27/21 0:00,24,Point_generic,42.37997574,-72.46977577,708302.195,4695067.152,64.179,92.975,19225,3.1,1.7,Postprocessed Code,Point_generic,21
-1,2,1198.566238,-3.418007111,07/27/21 0:00,25,Point_generic,42.37998865,-72.46980316,708299.897,4695068.518,67.602,96.397,19399,6.3,3.8,Postprocessed Code,Point_generic,24
-1,2,1199.455355,-2.998306084,07/27/21 0:00,26,Point_generic,42.37999434,-72.46979549,708300.51,4695069.169,66.245,95.041,19373,6.5,5.2,Postprocessed Code,Point_generic,21
-1,2,1197.866797,-4.890259039,07/27/21 0:00,27,Point_generic,42.37997411,-72.46980567,708299.738,4695066.896,67.598,96.393,19348,4.2,2.7,Postprocessed Code,Point_generic,21
-1,2,1196.242526,-2.116986084,07/27/21 0:00,28,Point_generic,42.37999329,-72.46983489,708297.27,4695068.955,65.67,94.466,81496,6.7,5.4,Postprocessed Code,Point_generic,28
-1,2,1194.2059,-2.822690721,07/27/21 0:00,29,Point_generic,42.37998075,-72.46986036,708295.214,4695067.5,68.087,96.882,19360,3.5,2.6,Postprocessed Code,Point_generic,27
-1,2,1195.680644,-7.864368425,07/27/21 0:00,30,Point_generic,42.37994254,-72.4698197,708298.688,4695063.357,66.121,94.917,19385,3.1,2,Postprocessed Code,Point_generic,22
-1,2,1192.428084,2.150056372,07/27/21 0:00,31,Point_generic,42.3800222,-72.46989199,708292.473,4695072.026,67.524,96.32,19351,7,5.7,Postprocessed Code,Point_generic,21
-1,2,1193.565305,2.744267132,07/27/21 0:00,32,Point_generic,42.38002917,-72.46987956,708293.473,4695072.83,64.843,93.639,19203,4.2,2.7,Postprocessed Code,Point_generic,16
-1,2,1191.989603,-2.022283287,07/27/21 0:00,33,Point_generic,42.37998451,-72.46988888,708292.854,4695067.848,65.175,93.971,19381,4.6,3.1,Postprocessed Code,Point_generic,21
-1,2,1192.052035,-4.200050948,07/27/21 0:00,34,Point_generic,42.37996527,-72.46988375,708293.339,4695065.724,67.646,96.442,81462,4.2,2.7,L1  Postprocessed Carrier Float,Point_generic,20
-1,2,1192.460979,-4.777503081,07/27/21 0:00,35,Point_generic,42.37996075,-72.46987771,708293.852,4695065.237,67.684,96.48,81479,5.8,2.8,Postprocessed Code,Point_generic,22
-1,2,1191.179844,-6.843819235,07/27/21 0:00,36,Point_generic,42.37994051,-72.46988891,708292.997,4695062.961,64.079,92.875,19254,4.3,2.8,Postprocessed Code,Point_generic,20
-1,2,1189.714613,-5.816318326,07/27/21 0:00,37,Point_generic,42.37994745,-72.46990851,708291.36,4695063.684,66.228,95.024,19376,6.7,4,Postprocessed Code,Point_generic,20
-1,2,1189.51796,-5.242227621,07/27/21 0:00,38,Point_generic,42.37995226,-72.46991201,708291.056,4695064.209,68.615,97.411,81489,6.7,4,Postprocessed Code,Point_generic,24
-1,2,1187.135852,-2.266726439,07/27/21 0:00,39,Point_generic,42.37997613,-72.46994834,708287.986,4695066.771,65.485,94.28,19350,4.3,3,Postprocessed Code,Point_generic,20
-1,2,1187.587278,-0.835813389,07/27/21 0:00,40,Point_generic,42.37998937,-72.46994473,708288.239,4695068.25,64.201,92.997,19384,4.1,2.8,Postprocessed Code,Point_generic,20
-1,2,1187.01782,-2.823887986,07/27/21 0:00,41,Point_generic,42.37997103,-72.46994905,708287.945,4695066.203,66.446,95.242,19374,2.8,1.7,Postprocessed Code,Point_generic,20
-1,2,1185.94474,-2.65751333,07/27/21 0:00,42,Point_generic,42.37997149,-72.46996221,708286.859,4695066.222,74.872,103.668,19357,6.6,3.9,Postprocessed Code,Point_generic,22
-1,2,1180.106,-2.677704196,07/27/21 0:00,43,Point_generic,42.37996371,-72.47003001,708281.303,4695065.192,64.846,93.642,19387,4.1,2.8,Postprocessed Code,Point_generic,20
-1,2,1180.506,-3.3947779,07/27/21 0:00,44,Point_generic,42.37995801,-72.4700236,708281.85,4695064.575,65.653,94.449,19394,3.2,1.8,Postprocessed Code,Point_generic,23
-1,2,1175.070977,-1.088204511,07/27/21 0:00,45,Point_generic,42.37997107,-72.47009446,708275.973,4695065.852,62.989,91.785,19330,6.4,3.7,Postprocessed Code,Point_generic,21
-1,2,1176.206,0.224062135,07/27/21 0:00,46,Point_generic,42.3799841,-72.47008286,708276.885,4695067.326,63.74,92.536,19397,4,2.8,Postprocessed Code,Point_generic,22
-1,2,1170.020598,-0.120809501,07/27/21 0:00,47,Point_generic,42.37997569,-72.4701571,708270.8,4695066.211,63.367,92.162,19369,2.7,1.7,Postprocessed Code,Point_generic,20
-1,2,1168.322932,0.628545415,07/27/21 0:00,48,Point_generic,42.37998186,-72.47017803,708269.056,4695066.845,60.767,89.563,19356,7.5,6.1,Postprocessed Code,Point_generic,20
-1,2,1168.709453,-2.855156977,07/27/21 0:00,49,Point_generic,42.37995066,-72.47017177,708269.675,4695063.395,66.312,95.108,19349,3.9,2.7,Postprocessed Code,Point_generic,21
-1,2,1161.916846,0.584979533,07/27/21 0:00,50,Point_generic,42.37998105,-72.47025542,708262.687,4695066.565,62.562,91.358,81483,5.9,3.3,Postprocessed Code,Point_generic,25
-1,2,1160.237387,-3.475873805,07/27/21 0:00,51,Point_generic,42.37994466,-72.47027635,708261.085,4695062.473,64.288,93.084,19366,3.8,2.7,Postprocessed Code,Point_generic,22
-1,2,1106.816595,-0.767914006,07/27/21 0:00,52,Point_generic,42.37975136,-72.47078156,708220.13,4695039.769,55.779,84.576,19331,4.1,2.3,Postprocessed Code,Point_generic,27
-1,2,1095.976312,-2.212951882,07/27/21 0:00,53,Point_generic,42.37965759,-72.47083297,708216.207,4695029.23,63.673,92.469,19361,5.9,5.5,Postprocessed Code,Point_generic,21
-1,2,1086.73572,-2.604051177,07/27/21 0:00,54,Point_generic,42.37958638,-72.47087963,708212.601,4695021.208,62.373,91.17,19296,3.2,1.9,Postprocessed Code,Point_generic,26
-1,2,1086.109821,-2.79518693,07/27/21 0:00,55,Point_generic,42.37958056,-72.47088088,708212.517,4695020.559,60.444,89.24,19299,3.3,1.9,L1L2  Postprocessed Carrier Float,Point_generic,24
-1,2,1077.255729,-3.369465055,07/27/21 0:00,56,Point_generic,42.37950798,-72.4709134,708210.08,4695012.419,62.014,90.811,19243,3.5,1.8,L1L2  Postprocessed Carrier Float,Point_generic,25
-1,2,1075.68846,-3.076323449,07/27/21 0:00,57,Point_generic,42.37949551,-72.47092299,708209.332,4695011.011,59.93,88.727,81456,2.7,1.5,L1L2  Postprocessed Carrier Float,Point_generic,24
-1,2,1067.863929,-3.235170266,07/27/21 0:00,58,Point_generic,42.37942891,-72.47094929,708207.387,4695003.551,58.116,86.914,19379,3.8,1.9,Postprocessed Carrier Fixed,Point_generic,25
-1,2,1064.919481,2.402582157,07/27/21 0:00,59,Point_generic,42.37942138,-72.47102483,708201.192,4695002.53,58.145,86.942,19378,3.2,1.6,Postprocessed Carrier Fixed,Point_generic,22
-1,2,1062.66606,-0.684468021,07/27/21 0:00,60,Point_generic,42.37939135,-72.47100221,708203.154,4694999.25,57.97,86.767,19289,3.2,1.5,Postprocessed Carrier Fixed,Point_generic,23
-1,2,1062.528759,1.941401686,07/27/21 0:00,61,Point_generic,42.3794001,-72.47103187,708200.683,4695000.149,58.144,86.942,81417,3.9,2.1,Postprocessed Carrier Fixed,Point_generic,21
-1,2,1059.893892,4.657113596,07/27/21 0:00,62,Point_generic,42.37939285,-72.47107277,708197.339,4694999.244,58.514,87.311,19256,3.4,1.7,L1L2  Postprocessed Carrier Float,Point_generic,25
-1,2,1057.2086,3.064768069,07/27/21 0:00,63,Point_generic,42.37936616,-72.47107173,708197.513,4694996.282,58.355,87.152,19303,3.9,2.1,L1L2  Postprocessed Carrier Float,Point_generic,23
-1,2,1056.274082,4.135743468,07/27/21 0:00,64,Point_generic,42.37936471,-72.4710888,708196.112,4694996.08,59.452,88.249,81497,6.9,3.3,L1L2  Postprocessed Carrier Float,Point_generic,20
-1,2,1055.882188,0.982889391,07/27/21 0:00,65,Point_generic,42.3793458,-72.47105988,708198.556,4694994.05,58.475,87.272,21500,3.8,1.8,Postprocessed Carrier Fixed,Point_generic,21
-1,2,1054.428036,-1.521429442,07/27/21 0:00,66,Point_generic,42.37932227,-72.47104473,708199.881,4694991.475,58.573,87.37,19390,3.2,1.5,L1L2  Postprocessed Carrier Float,Point_generic,20
-1,2,1054.371504,-2.558681008,07/27/21 0:00,67,Point_generic,42.37931659,-72.47103472,708200.724,4694990.868,57.966,86.764,19365,3.2,1.5,L1L2  Postprocessed Carrier Float,Point_generic,34
-1,2,1053.6086,-5.334092329,07/27/21 0:00,68,Point_generic,42.37929635,-72.47101256,708202.615,4694988.675,58.949,87.747,84072,2.9,1.4,Postprocessed Carrier Fixed,Point_generic,34
-1,2,1053.074224,3.709528195,07/27/21 0:00,69,Point_generic,42.37934377,-72.47110213,708195.085,4694993.722,50.597,79.394,19297,5.5,2.2,Postprocessed Code,Point_generic,21
-1,2,1049.282952,-0.015871939,07/27/21 0:00,70,Point_generic,42.37929593,-72.4711021,708195.245,4694988.409,54.587,83.384,19298,6.3,2.6,Postprocessed Code,Point_generic,33
-1,2,1044.031327,1.384802778,07/27/21 0:00,71,Point_generic,42.37927464,-72.47116022,708190.53,4694985.903,64.252,93.049,19285,6.5,2.7,Postprocessed Code,Point_generic,41
-1,2,1040.356501,1.811072231,07/27/21 0:00,72,Point_generic,42.37925757,-72.47119878,708187.412,4694983.912,62.649,91.446,19211,5.2,2.1,Postprocessed Code,Point_generic,32
-1,2,1039.938499,1.066898817,07/27/21 0:00,73,Point_generic,42.37924996,-72.47119731,708187.558,4694983.071,60.568,89.366,19261,5.5,2.2,Postprocessed Code,Point_generic,22
-1,2,1040.810923,3.606632067,07/27/21 0:00,74,Point_generic,42.37927288,-72.47120766,708186.63,4694985.591,61.068,89.865,19261,3.9,2.4,Postprocessed Code,Point_generic,23
-1,2,1041.887617,4.506818995,07/27/21 0:00,75,Point_generic,42.37928521,-72.47120394,708186.896,4694986.969,62.379,91.176,19307,3.2,1.7,Postprocessed Code,Point_generic,24
-1,2,1035.751169,1.69265266,07/27/21 0:00,76,Point_generic,42.37923031,-72.47124201,708183.942,4694980.78,59.322,88.12,19284,3.1,1.8,Postprocessed Code,Point_generic,26
-1,2,1025.753672,0.397379606,07/27/21 0:00,77,Point_generic,42.37916535,-72.47132682,708177.175,4694973.358,57.63,86.428,19347,3,1.4,Postprocessed Code,Point_generic,25
-1,2,1020.172652,-1.115414136,07/27/21 0:00,78,Point_generic,42.37912463,-72.47137104,708173.669,4694968.728,56.13,84.928,19247,3,1.4,L1L2  Postprocessed Carrier Float,Point_generic,23
