OID,RID,MEAS,Distance,GPSTime,ID,FeatureNam,Latitude,Longitude,Easting,Northing,HAE,MSL,Comment,Max_PDOP,Max_HDOP,Corr_Type,Feat_Name,Filt_Pos
-1,2,615.6442703,0.978525553,11/10/21 0:00,1,Point_generic,42.37844078,-72.47564216,707824.277,4694882.331,50.962,79.762,19226,4.1,1.8,Postprocessed Code,Point_generic,25
-1,2,614.9733663,3.097710672,11/10/21 0:00,2,Point_generic,42.37845671,-72.47565849,707822.88,4694884.06,53.401,82.202,19286,5.9,3.4,Postprocessed Code,Point_generic,23
-1,2,612.0706958,-3.151210025,11/10/21 0:00,3,Point_generic,42.37839495,-72.47566613,707822.454,4694877.183,50.664,79.465,19283,4.8,1.6,Postprocessed Code,Point_generic,25
-1,2,614.2821373,-6.182487477,11/10/21 0:00,4,Point_generic,42.37837596,-72.47562847,707825.618,4694875.166,53.102,81.902,19250,6.1,1.9,Postprocessed Code,Point_generic,26
-1,2,610.1981568,-4.149501268,11/10/21 0:00,5,Point_generic,42.37838082,-72.47568347,707821.074,4694875.571,53.506,82.306,81474,5.4,1.9,Postprocessed Code,Point_generic,26
-1,2,606.2546744,-2.18875369,11/10/21 0:00,6,Point_generic,42.37838785,-72.47574071,707816.338,4694876.212,49.398,78.198,19300,6,2.8,Postprocessed Code,Point_generic,27
-1,2,601.7411721,-3.915005891,11/10/21 0:00,7,Point_generic,42.37836356,-72.47578936,707812.412,4694873.395,53.392,82.192,81453,3.4,2.2,Postprocessed Code,Point_generic,26
-1,2,603.1576346,-2.158337036,11/10/21 0:00,8,Point_generic,42.37838183,-72.47577742,707813.335,4694875.454,48.62,77.421,19210,3.4,1.7,Postprocessed Code,Point_generic,26
-1,2,597.5884579,-3.08843321,11/10/21 0:00,9,Point_generic,42.37836322,-72.4758422,707808.063,4694873.228,50.989,79.789,81408,6,4.7,Postprocessed Code,Point_generic,25
-1,2,580.5133953,-3.615382283,11/10/21 0:00,10,Point_generic,42.37832604,-72.47618003,707780.371,4694868.274,47.437,76.238,19222,3.7,2.7,Postprocessed Code,Point_generic,26
-1,2,575.7770648,-1.944192892,11/10/21 0:00,11,Point_generic,42.37834662,-72.47624417,707775.023,4694870.402,46.492,75.293,19333,2.5,1.4,Postprocessed Code,Point_generic,26
-1,2,571.0934693,0.922785849,11/10/21 0:00,12,Point_generic,42.37838026,-72.47629295,707770.896,4694874.018,48.751,77.552,19345,2.3,1.4,L1L2  Postprocessed Carrier Float,Point_generic,28
-1,2,569.0851986,-1.666337083,11/10/21 0:00,13,Point_generic,42.37836162,-72.47632378,707768.419,4694871.873,49.163,77.964,84064,3.4,1.7,Postprocessed Code,Point_generic,29
-1,2,559.5691,1.424659563,11/10/21 0:00,14,Point_generic,42.3784199,-72.47641811,707760.46,4694878.113,49.52,78.321,19242,11.7,6.3,Postprocessed Code,Point_generic,27
-1,2,550.9083798,1.410652745,11/10/21 0:00,15,Point_generic,42.37844989,-72.47651836,707752.107,4694881.199,48.639,77.44,81480,2.8,1.8,Postprocessed Code,Point_generic,30
-1,2,550.312696,-0.83665943,11/10/21 0:00,16,Point_generic,42.37843184,-72.47653265,707750.99,4694879.16,52.364,81.165,19229,3.2,1.9,Postprocessed Code,Point_generic,27
-1,2,547.6693,4.363272245,11/10/21 0:00,17,Point_generic,42.37848334,-72.47654671,707749.662,4694884.844,52.339,81.14,19337,4.1,2,Postprocessed Code,Point_generic,23
-1,2,535.882737,3.059459958,11/10/21 0:00,18,Point_generic,42.37851396,-72.47667009,707739.403,4694887.942,46.831,75.632,81410,62.2,37.6,Postprocessed Code,Point_generic,27
-1,2,521.8150964,3.716225582,11/10/21 0:00,19,Point_generic,42.37858218,-72.4768175,707727.042,4694895.158,50.352,79.152,81404,5.2,3.7,L1L2  Postprocessed Carrier Float,Point_generic,96
-1,2,520.9264518,1.461838595,11/10/21 0:00,20,Point_generic,42.3785679,-72.47683973,707725.259,4694893.517,49.39,78.191,81471,3.2,1.9,Postprocessed Code,Point_generic,26
-1,2,517.3304641,1.363751737,11/10/21 0:00,21,Point_generic,42.37858252,-72.47688056,707721.849,4694895.041,48.229,77.03,81499,2.8,1.6,Postprocessed Code,Point_generic,26
-1,2,509.5028427,5.745773545,11/10/21 0:00,22,Point_generic,42.37864531,-72.47694851,707716.048,4694901.847,53.381,82.182,19260,3.9,2.4,Postprocessed Code,Point_generic,26
-1,2,508.9698,5.843305359,11/10/21 0:00,23,Point_generic,42.37864793,-72.47695405,707715.583,4694902.125,52.91,81.711,81424,3.3,1.9,Postprocessed Code,Point_generic,26
-1,2,507.5763761,1.165811914,11/10/21 0:00,24,Point_generic,42.3786123,-72.47699555,707712.283,4694898.066,50.385,79.186,81405,3.4,2.2,Postprocessed Code,Point_generic,26
-1,2,500.5366471,-5.177729232,11/10/21 0:00,25,Point_generic,42.37856126,-72.47708579,707705.022,4694892.178,49.719,78.52,19341,2.8,1.6,Postprocessed Code,Point_generic,26
-1,2,488.6707,-2.778945882,11/10/21 0:00,26,Point_generic,42.37857207,-72.47721679,707694.201,4694893.058,55.934,84.735,21503,5.6,2.6,Postprocessed Code,Point_generic,34
