OID,RID,MEAS,Distance,GPSTime,ID,FeatureNam,Latitude,Longitude,Easting,Northing,HAE,MSL,Comment,Max_PDOP,Max_HDOP,Corr_Type,Feat_Name,Filt_Pos
-1,2,1003.909,4.045731633,06/29/21 0:00,77,Point_generic,42.37908637,-72.47156469,708157.852,4694964.004,56.452,85.249,81437,4.6,1.5,Postprocessed Carrier Fixed,Point_generic,17
-1,2,1001.709,2.722991108,06/29/21 0:00,78,Point_generic,42.3790672,-72.47158222,708156.472,4694961.833,56.248,85.046,19248,4.6,1.5,Postprocessed Carrier Fixed,Point_generic,16
-1,2,999.9403751,4.991882781,06/29/21 0:00,79,Point_generic,42.37907905,-72.4716132,708153.882,4694963.073,56.304,85.102,19231,4.6,1.5,Postprocessed Carrier Fixed,Point_generic,14
-1,2,1004.975553,0.90760896,06/29/21 0:00,80,Point_generic,42.37906479,-72.47153688,708160.213,4694961.677,56.353,85.151,19216,4.7,1.8,Postprocessed Carrier Fixed,Point_generic,20
-1,2,1003.995812,-1.016358256,06/29/21 0:00,81,Point_generic,42.37904537,-72.47153783,708160.199,4694959.518,55.989,84.787,19375,2.3,1.1,Postprocessed Carrier Fixed,Point_generic,23
-1,2,996.2181307,0.846919687,06/29/21 0:00,82,Point_generic,42.37903181,-72.47163281,708152.424,4694957.779,56.133,84.931,19221,2.6,1.3,Postprocessed Carrier Fixed,Point_generic,15
-1,2,994.3655639,1.627105023,06/29/21 0:00,83,Point_generic,42.37903213,-72.47165721,708150.414,4694957.755,56.202,85,19236,4.8,1.7,Postprocessed Carrier Fixed,Point_generic,15
-1,2,995.2934059,3.372867948,06/29/21 0:00,84,Point_generic,42.37904982,-72.47165462,708150.568,4694959.726,56.127,84.925,19233,4.8,1.7,Postprocessed Carrier Fixed,Point_generic,15
-1,2,993.4340997,3.588858826,06/29/21 0:00,85,Point_generic,42.37904541,-72.47167656,708148.777,4694959.182,56.015,84.812,19292,4.8,1.7,Postprocessed Carrier Fixed,Point_generic,19
-1,2,993.4662773,3.590121663,06/29/21 0:00,86,Point_generic,42.37904553,-72.4716762,708148.806,4694959.196,55.981,84.779,19227,4.5,1.7,Postprocessed Carrier Fixed,Point_generic,18
-1,2,992.818372,2.113518501,06/29/21 0:00,87,Point_generic,42.37903091,-72.4716771,708148.781,4694957.571,56.089,84.887,81501,4.4,1.6,Postprocessed Carrier Fixed,Point_generic,14
-1,2,990.6103171,3.563245573,06/29/21 0:00,88,Point_generic,42.37903538,-72.47170859,708146.173,4694957.99,55.833,84.631,19312,4.6,1.6,Postprocessed Carrier Fixed,Point_generic,15
-1,2,990.6174286,3.564439402,06/29/21 0:00,89,Point_generic,42.37903541,-72.47170852,708146.179,4694957.994,55.85,84.648,81467,4.6,1.6,Postprocessed Carrier Fixed,Point_generic,15
-1,2,990.6259981,3.605531533,06/29/21 0:00,90,Point_generic,42.37903579,-72.47170861,708146.17,4694958.035,55.805,84.603,19354,4.6,1.6,Postprocessed Carrier Fixed,Point_generic,11
-1,2,988.2553118,3.528235772,06/29/21 0:00,91,Point_generic,42.37902804,-72.47173166,708144.298,4694957.118,55.742,84.54,19355,4.8,1.7,Postprocessed Carrier Fixed,Point_generic,15
-1,2,987.4091,-0.921015592,06/29/21 0:00,92,Point_generic,42.37898749,-72.47172529,708144.956,4694952.631,55.957,84.755,81472,4.6,1.7,Postprocessed Carrier Fixed,Point_generic,17
-1,2,985.9949914,-1.653405079,06/29/21 0:00,93,Point_generic,42.37897741,-72.47173856,708143.897,4694951.479,56.431,85.229,19336,1.1,0.7,L1L2  Postprocessed Carrier Float,Point_generic,15
-1,2,982.1096,-0.420505555,06/29/21 0:00,94,Point_generic,42.37898178,-72.47178053,708140.427,4694951.861,55.719,84.517,81449,1.1,0.7,Postprocessed Carrier Fixed,Point_generic,13
-1,2,978.5621653,-0.142232366,06/29/21 0:00,95,Point_generic,42.37898379,-72.47182403,708136.839,4694951.978,55.443,84.241,19363,4.6,1.7,Postprocessed Carrier Fixed,Point_generic,11
-1,2,979.4870314,1.521726366,06/29/21 0:00,96,Point_generic,42.37899752,-72.4718102,708137.933,4694953.536,55.58,84.378,19396,1.2,0.7,Postprocessed Carrier Fixed,Point_generic,13
-1,2,977.4705541,0.714481676,06/29/21 0:00,97,Point_generic,42.37899291,-72.47183402,708135.986,4694952.966,55.306,84.104,19398,1.1,0.7,Postprocessed Carrier Fixed,Point_generic,9
-1,2,974.8121437,4.573444367,06/29/21 0:00,98,Point_generic,42.37903347,-72.47184963,708134.567,4694957.432,58.349,87.147,19234,4.6,3,L1L2  Postprocessed Carrier Float,Point_generic,18
-1,2,975.6539235,2.639795583,06/29/21 0:00,99,Point_generic,42.37901455,-72.47184745,708134.809,4694955.337,55.95,84.748,81458,4.6,3,L1L2  Postprocessed Carrier Float,Point_generic,24
-1,2,975.5658076,4.772624837,06/29/21 0:00,100,Point_generic,42.379033,-72.47184019,708135.346,4694957.403,56.515,85.313,19277,5.9,4.3,L1L2  Postprocessed Carrier Float,Point_generic,46
-1,2,972.414705,0.353046532,06/29/21 0:00,101,Point_generic,42.37900503,-72.47189298,708131.092,4694954.168,55.525,84.323,19295,4,2.9,Postprocessed Carrier Fixed,Point_generic,49
-1,2,972.9374612,-1.735706087,06/29/21 0:00,102,Point_generic,42.37898584,-72.47189665,708130.854,4694952.028,55.375,84.173,19258,6,4.3,Postprocessed Carrier Fixed,Point_generic,82
-1,2,968.8679568,0.711835109,06/29/21 0:00,103,Point_generic,42.37902287,-72.47192661,708128.264,4694956.066,55.366,84.164,19380,3.9,2.6,Postprocessed Carrier Fixed,Point_generic,30
-1,2,967.1006952,0.070520771,06/29/21 0:00,104,Point_generic,42.37902767,-72.47194845,708126.451,4694956.546,57.314,86.112,19240,4,2.8,L1L2  Postprocessed Carrier Float,Point_generic,43
-1,2,964.6207885,4.49047101,06/29/21 0:00,105,Point_generic,42.37907247,-72.4719368,708127.261,4694961.549,58.172,86.971,19344,6.2,4.3,L1L2  Postprocessed Carrier Float,Point_generic,40
-1,2,960.3922608,1.14959961,06/29/21 0:00,106,Point_generic,42.37907406,-72.47200219,708121.872,4694961.566,55.497,84.295,21501,3.5,2.6,L1L2  Postprocessed Carrier Float,Point_generic,25
-1,2,963.7656257,-1.196622054,06/29/21 0:00,107,Point_generic,42.37903833,-72.4719893,708123.052,4694957.63,55.084,83.882,19224,3.5,2.7,L1L2  Postprocessed Carrier Float,Point_generic,41
-1,2,963.2986287,-1.316296826,06/29/21 0:00,108,Point_generic,42.37904022,-72.47199456,708122.612,4694957.827,55.132,83.93,19343,4.1,3.3,L1L2  Postprocessed Carrier Float,Point_generic,21
-1,2,957.6373425,5.161448158,06/29/21 0:00,109,Point_generic,42.37911688,-72.47199404,708122.402,4694966.341,58.597,87.394,19271,3.4,2.6,Postprocessed Code,Point_generic,19
-1,2,956.8417948,2.636896671,06/29/21 0:00,110,Point_generic,42.37910492,-72.47202184,708120.153,4694964.945,57.593,86.391,19395,3.7,2.9,L1  Postprocessed Carrier Float,Point_generic,15
-1,2,950.5873544,4.080792105,06/29/21 0:00,111,Point_generic,42.37915045,-72.47206282,708116.628,4694969.9,56.631,85.429,81473,4.2,2.2,Postprocessed Carrier Fixed,Point_generic,13
-1,2,953.2293369,0.555902117,06/29/21 0:00,112,Point_generic,42.37911301,-72.47207126,708116.057,4694965.721,56.205,85.003,19269,2.5,1.2,Postprocessed Carrier Fixed,Point_generic,46
-1,2,955.9489364,-1.298586337,06/29/21 0:00,113,Point_generic,42.37908418,-72.47206204,708116.911,4694962.542,56.555,85.353,19393,6.7,5.7,L1L2  Postprocessed Carrier Float,Point_generic,37
-1,2,950.2940441,0.389975898,06/29/21 0:00,114,Point_generic,42.37912986,-72.47209816,708113.786,4694967.527,60.028,88.826,19305,4.7,2.2,L1L2  Postprocessed Carrier Float,Point_generic,27
-1,2,942.5490435,-0.358886666,06/29/21 0:00,115,Point_generic,42.37917429,-72.47216956,708107.761,4694972.286,59.677,88.475,19339,6,2.4,L1L2  Postprocessed Carrier Float,Point_generic,17
-1,2,934.8330735,-2.17213775,06/29/21 0:00,116,Point_generic,42.3791893,-72.47226018,708100.251,4694973.731,58.604,87.401,19276,7,3.5,Postprocessed Code,Point_generic,32
-1,2,933.3663809,-2.955763282,06/29/21 0:00,117,Point_generic,42.37918455,-72.47227501,708099.046,4694973.167,59.109,87.907,19232,4.9,2.2,Postprocessed Code,Point_generic,32
-1,2,925.2861323,-2.53388432,06/29/21 0:00,118,Point_generic,42.37920821,-72.472376,708090.653,4694975.547,60.26,89.058,19252,3.1,1.6,Postprocessed Code,Point_generic,18
-1,2,923.9833298,-2.032560756,06/29/21 0:00,119,Point_generic,42.37921724,-72.47238777,708089.653,4694976.521,57.208,86.006,19382,3.3,1.7,Postprocessed Code,Point_generic,27
-1,2,914.2166855,-1.853723783,06/29/21 0:00,120,Point_generic,42.37925614,-72.47249489,708080.706,4694980.577,57.923,86.721,19266,3.8,1.4,Postprocessed Code,Point_generic,18
-1,2,899.3414931,-3.254457231,06/29/21 0:00,121,Point_generic,42.37930111,-72.47266432,708066.608,4694985.156,59.089,87.887,19215,3.4,1.4,Postprocessed Code,Point_generic,11
-1,2,897.3885481,-1.188751469,06/29/21 0:00,122,Point_generic,42.37932523,-72.47267582,708065.582,4694987.807,59.026,87.824,19245,3.2,1.6,Postprocessed Code,Point_generic,18
-1,2,888.2800886,-4.181833008,06/29/21 0:00,123,Point_generic,42.37933238,-72.47279104,708056.072,4694988.318,58,86.798,19251,4.2,1.7,Postprocessed Code,Point_generic,18
-1,2,884.5124,-1.471555211,06/29/21 0:00,124,Point_generic,42.37936927,-72.47282081,708053.498,4694992.342,59.72,88.518,19214,4.3,1.7,Postprocessed Code,Point_generic,28
-1,2,878.8210264,-0.413889764,06/29/21 0:00,125,Point_generic,42.37939766,-72.47287874,708048.635,4694995.353,53.059,81.857,19342,6.5,3.1,Postprocessed Code,Point_generic,15
-1,2,875.4907463,-1.727101209,06/29/21 0:00,126,Point_generic,42.37939797,-72.47292269,708045.016,4694995.279,69.632,98.43,81507,5.8,2.3,Postprocessed Code,Point_generic,14
-1,2,877.6277502,-8.134086884,06/29/21 0:00,127,Point_generic,42.37933683,-72.4729263,708044.92,4694988.481,67.204,96.002,81491,5.8,2.4,Postprocessed Code,Point_generic,14
-1,2,866.1836075,-4.506755901,06/29/21 0:00,128,Point_generic,42.37940339,-72.47303573,708035.691,4694995.604,58.961,87.759,19392,3.2,1.5,Postprocessed Code,Point_generic,17
-1,2,854.7829561,-4.377516469,06/29/21 0:00,129,Point_generic,42.37943298,-72.47316338,708025.084,4694998.578,57.752,86.55,19279,3.9,2.3,Postprocessed Code,Point_generic,13
